STT,SHS,SBD,Họ và tên,GT,Ngày sinh,NV1,NV2,Tiếng Anh,Toán 1,Ngữ văn,Hóa học,Tin học,Vật lý,Sinh học,Toán 2,Kết luận,SĐT,Tin nhắn
1415,1911,918,Nguyễn Văn 1415,,10/04/2010,Chuyên vật lý,,9.5,4,6.5,,,2.75,,,,984640899,
1416,1913,856,Nguyễn Văn 1416,,02/11/2010,Chuyên tin học (thi Toán),,10,7.5,6.75,,,,,1,,984640899,
1417,1914,101,Nguyễn Văn 1417,,28/02/2010,Chuyên tin học (thi Toán),Chuyên vật lý,8.5,7.5,6.5,,,7.5,,3,Chuyên Vật lý,984640899,
1418,1915,1905,Nguyễn Văn 1418,,12/08/2010,Chuyên toán học,Chuyên vật lý,9,6.5,7.5,,,2,,2.5,,984640899,
1419,1916,100,Nguyễn Văn 1419,,07/06/2010,Chuyên tin học (thi Toán),,9.75,6,7.75,,,,,6.5,,984640899,
1420,1917,2069,Nguyễn Văn 1420,,18/08/2010,Chuyên hóa học,,9.5,6,8.25,4.25,,,,,,984640899,
1421,1919,993,Nguyễn Văn 1421,,23/01/2010,Chuyên vật lý,,9.25,4,8.25,,,3,,,,984640899,
1422,1920,2166,Nguyễn Văn 1422,Nữ,25/02/2010,Chuyên sinh học,,2.75,0.5,8,,,,0,,,984640899,
1423,1921,9,Nguyễn Văn 1423,,16/12/2010,Chuyên hóa học,Chuyên toán học,9.75,1.5,6.5,4,,,,1.5,,984640899,
1424,1923,2418,Nguyễn Văn 1424,Nữ,29/04/2010,Chuyên hóa học,,9.75,6,8.75,5.5,,,,,Chuyên Hoá học,984640899,
1425,1924,1681,Nguyễn Văn 1425,,22/12/2010,Chuyên tin học (thi Toán),,9.5,8,8,,,,,4,,984640899,
1426,1925,645,Nguyễn Văn 1426,,28/08/2010,Chuyên toán học,,9,5,7.75,,,,,2.5,,984640899,
1427,1926,456,Nguyễn Văn 1427,Nữ,14/01/2010,Chuyên tin học (thi Tin),,9.75,6,9,,6.5,,,,,984640899,
1428,1928,682,Nguyễn Văn 1428,Nữ,27/09/2010,Chuyên sinh học,,7.25,1,8.5,,,,4,,,984640899,
1429,1931,1976,Nguyễn Văn 1429,,09/03/2010,Chuyên hóa học,,9,2.5,5.5,5.5,,,,,,984640899,
1430,1932,1852,Nguyễn Văn 1430,,09/09/2010,Chuyên vật lý,,9.25,5,8,,,6.5,,,Chuyên Vật lý,984640899,
1431,1933,1189,Nguyễn Văn 1431,Nữ,23/05/2010,Chuyên hóa học,,9.75,6.5,9,9,,,,,Chuyên Hoá học,984640899,
1432,1936,1832,Nguyễn Văn 1432,,21/09/2010,Chuyên tin học (thi Toán),,8,4,8,,,,,1.5,,984640899,
1433,1939,178,Nguyễn Văn 1433,,12/07/2010,Chuyên tin học (thi Toán),,9.5,6,7,,,,,3,,984640899,
1434,1940,1527,Nguyễn Văn 1434,Nữ,14/06/2010,Chuyên hóa học,,8.25,4,7.25,2.5,,,,,,984640899,
1435,1941,1259,Nguyễn Văn 1435,,01/06/2010,Chuyên hóa học,,9,5,6.25,3.75,,,,,,984640899,
1436,1942,1623,Nguyễn Văn 1436,,04/08/2010,Chuyên sinh học,,9,5,5.25,,,,6,,Chuyên Sinh học,984640899,
1437,1943,2583,Nguyễn Văn 1437,,28/11/2010,Chuyên toán học,,9.25,8,8.25,,,,,6.5,Chuyên Toán học,984640899,
1438,1944,1780,Nguyễn Văn 1438,,24/06/2010,Chuyên vật lý,,9.75,7.5,7.25,,,7,,,Chuyên Vật lý,984640899,
1439,1945,1419,Nguyễn Văn 1439,,25/01/2010,Chuyên tin học (thi Toán),,9.75,5,7.5,,,,,1.5,,984640899,
1440,1946,2104,Nguyễn Văn 1440,,05/04/2010,Chuyên hóa học,,7.25,2.5,7.5,2.75,,,,,,984640899,
1441,1947,282,Nguyễn Văn 1441,,06/10/2010,Chuyên tin học (thi Toán),,8.75,4,9,,,,,1,,984640899,
1442,1949,1399,Nguyễn Văn 1442,,10/08/2010,Chuyên vật lý,,9.75,7.5,8.5,,,4.75,,,Chuyên Vật lý,984640899,
1443,1952,2685,Nguyễn Văn 1443,,27/07/2010,Chuyên hóa học,,10,4,7.5,2.75,,,,,,984640899,
1444,1953,928,Nguyễn Văn 1444,,10/09/2010,Chuyên tin học (thi Toán),,8.75,5,6.25,,,,,1,,984640899,
1445,1955,2699,Nguyễn Văn 1445,Nữ,10/08/2010,Chuyên hóa học,,10,6.25,9,7.25,,,,,Chuyên Hoá học,984640899,
1446,1956,2175,Nguyễn Văn 1446,,05/01/2010,Chuyên vật lý,,9.75,7,8.25,,,8.75,,,Chuyên Vật lý,984640899,
1447,1957,375,Nguyễn Văn 1447,Nữ,26/08/2010,Chuyên tin học (thi Toán),Chuyên vật lý,9.25,6.5,8,,,0,,1,,984640899,
1448,1959,1665,Nguyễn Văn 1448,,04/04/2010,Chuyên vật lý,Chuyên tin học (thi Toán),10,6.5,9,,,6,,0,Chuyên Vật lý,984640899,
1449,1961,1493,Nguyễn Văn 1449,Nữ,17/05/2010,Chuyên vật lý,,8,3.5,8.5,,,3.25,,,,984640899,
1450,1962,1319,Nguyễn Văn 1450,,03/09/2010,Chuyên vật lý,Chuyên tin học (thi Toán),9,7.5,7.75,,,6,,3.5,Chuyên Vật lý,984640899,
1451,1963,2330,Nguyễn Văn 1451,,26/08/2010,Chuyên toán học,,8.5,6.5,8.25,,,,,3.75,,984640899,
1452,1964,2134,Nguyễn Văn 1452,,06/01/2010,Chuyên tin học (thi Toán),,9.25,7,8.5,,,,,2.5,,984640899,
1453,1965,1949,Nguyễn Văn 1453,,22/10/2010,Chuyên tin học (thi Toán),,9,7.5,5,,,,,7,Chuyên Tin học (thi Toán),984640899,
1454,1966,1239,Nguyễn Văn 1454,,26/08/2010,Chuyên vật lý,,8.25,4.5,7.25,,,5,,,,984640899,
1455,1967,2385,Nguyễn Văn 1455,,21/02/2010,Chuyên tin học (thi Toán),,10,6,8,,,,,4.5,,984640899,
1456,1968,2295,Nguyễn Văn 1456,,21/08/2010,Chuyên tin học (thi Toán),,9.25,2.5,7.25,,,,,0.5,,984640899,
1457,1969,525,Nguyễn Văn 1457,,02/08/2010,Chuyên hóa học,,9.75,6,7,7,,,,,Chuyên Hoá học,984640899,
1458,1970,2469,Nguyễn Văn 1458,Nữ,19/03/2010,Chuyên sinh học,,9.5,3,8.5,,,,5.5,,,984640899,
1459,1971,2445,Nguyễn Văn 1459,,25/08/2010,Chuyên hóa học,,10,4,7.5,3.5,,,,,,984640899,
1460,1972,1829,Nguyễn Văn 1460,,20/02/2010,Chuyên vật lý,,9.25,6,8.25,,,8,,,Chuyên Vật lý,984640899,
1461,1973,159,Nguyễn Văn 1461,Nữ,27/07/2010,Chuyên hóa học,,9.75,4.5,8.25,6.5,,,,,Chuyên Hoá học,984640899,
1462,1974,1406,Nguyễn Văn 1462,,09/03/2010,Chuyên vật lý,,9.5,4,7,,,2,,,,984640899,
1463,1975,1424,Nguyễn Văn 1463,Nữ,02/10/2010,Chuyên hóa học,,8.5,2,8,1.75,,,,,,984640899,
1464,1976,1145,Nguyễn Văn 1464,,06/08/2010,Chuyên toán học,,10,7.5,9,,,,,7,Chuyên Toán học,984640899,
1465,1978,1390,Nguyễn Văn 1465,,17/08/2010,Chuyên sinh học,,9.5,4.5,8,,,,2.5,,,984640899,
1466,1979,198,Nguyễn Văn 1466,Nữ,08/04/2010,Chuyên toán học,,9.5,7.5,8.5,,,,,2,,984640899,
1467,1980,238,Nguyễn Văn 1467,,14/01/2010,Chuyên tin học (thi Toán),,9.5,6,7,,,,,4,,984640899,
1468,1981,1625,Nguyễn Văn 1468,,29/06/2010,Chuyên hóa học,,10,4,8.5,5.25,,,,,,984640899,
1469,1982,782,Nguyễn Văn 1469,,19/07/2010,Chuyên tin học (thi Toán),,9.75,7.5,7,,,,,7.5,Chuyên Tin học (thi Toán),984640899,
1470,1983,1569,Nguyễn Văn 1470,Nữ,17/06/2010,Chuyên sinh học,,9.5,2.5,8.75,,,,5,,,984640899,
1471,1984,1467,Nguyễn Văn 1471,Nữ,16/02/2010,Chuyên hóa học,,7.5,2,8,1.25,,,,,,984640899,
1472,1986,2620,Nguyễn Văn 1472,Nữ,02/07/2010,Chuyên sinh học,,9.5,6,8.75,,,,7.25,,Chuyên Sinh học,984640899,
1473,1987,2361,Nguyễn Văn 1473,,10/12/2010,Chuyên toán học,,9.5,4,7,,,,,5,,984640899,
1474,1988,1636,Nguyễn Văn 1474,,11/12/2010,Chuyên sinh học,,9.25,2,7.5,,,,6.75,,,984640899,
1475,1989,1047,Nguyễn Văn 1475,,05/02/2010,Chuyên hóa học,Chuyên tin học (thi Toán),8.75,6.5,8,2.75,,,,6.5,Chuyên Tin học (thi Toán),984640899,
1476,1991,1397,Nguyễn Văn 1476,,30/11/2010,Chuyên toán học,,9.25,7.5,8.5,,,,,5.5,,984640899,
1477,1992,1632,Nguyễn Văn 1477,,31/12/2010,Chuyên tin học (thi Toán),,9.75,6.5,6.75,,,,,2,,984640899,
1478,1995,586,Nguyễn Văn 1478,,30/09/2010,Chuyên tin học (thi Tin),,8.5,5,4.5,,7.5,,,,Chuyên Tin học (thi Tin),984640899,
1479,1996,193,Nguyễn Văn 1479,,25/08/2010,Chuyên hóa học,Chuyên tin học (thi Toán),9,6,7.75,2,,,,1.5,,984640899,
1480,1998,1974,Nguyễn Văn 1480,,02/09/2010,Chuyên tin học (thi Toán),,9.5,6.5,9,,,,,7,Chuyên Tin học (thi Toán),984640899,
1481,1999,1818,Nguyễn Văn 1481,Nữ,09/02/2010,Chuyên hóa học,,10,6,8.25,3.5,,,,,,984640899,
1482,2000,2605,Nguyễn Văn 1482,,07/10/2010,Chuyên toán học,,9.5,7.5,7.5,,,,,7,Chuyên Toán học,984640899,
1483,2002,886,Nguyễn Văn 1483,,04/07/2010,Chuyên vật lý,,9.25,6,7.25,,,4,,,,984640899,
1484,2003,2155,Nguyễn Văn 1484,,24/06/2010,Chuyên tin học (thi Toán),,8.75,6,8.25,,,,,1.5,,984640899,
1485,2004,2492,Nguyễn Văn 1485,,01/04/2010,Chuyên vật lý,,9.5,4.75,7,,,3,,,,984640899,
1486,2005,2470,Nguyễn Văn 1486,Nữ,02/02/2010,Chuyên tin học (thi Toán),,9.75,7.5,8.5,,,,,3.5,,984640899,
1487,2006,2346,Nguyễn Văn 1487,,06/07/2010,Chuyên hóa học,,9,3,4.75,1.5,,,,,,984640899,
1488,2007,1988,Nguyễn Văn 1488,,12/09/2010,Chuyên vật lý,,10,6,7,,,8.5,,,Chuyên Vật lý,984640899,
1489,2008,773,Nguyễn Văn 1489,Nữ,17/10/2010,Chuyên toán học,,6.5,1.5,8.25,,,,,2.5,,984640899,
1490,2010,455,Nguyễn Văn 1490,,29/06/2010,Chuyên hóa học,,8.75,4,8.25,2.5,,,,,,984640899,
1491,2011,170,Nguyễn Văn 1491,Nữ,04/06/2010,Chuyên sinh học,,8.75,0.5,6,,,,4.75,,,984640899,
1492,2012,2493,Nguyễn Văn 1492,,31/07/2010,Chuyên toán học,Chuyên vật lý,9.75,8,8.5,,,0,,7,Chuyên Toán học,984640899,
1493,2013,2201,Nguyễn Văn 1493,,03/12/2010,Chuyên tin học (thi Tin),,9.25,1.5,4.25,,5,,,,,984640899,
1494,2016,1302,Nguyễn Văn 1494,,08/02/2010,Chuyên vật lý,,9,0.5,7.25,,,1.75,,,,984640899,
1495,2017,201,Nguyễn Văn 1495,Nữ,15/03/2010,Chuyên tin học (thi Toán),,9.25,5,8,,,,,4,,984640899,
1496,2018,839,Nguyễn Văn 1496,Nữ,23/08/2010,Chuyên sinh học,,10,2.5,9,,,,5.75,,,984640899,
1497,2019,2479,Nguyễn Văn 1497,,22/03/2010,Chuyên tin học (thi Toán),,9.75,5.5,8.25,,,,,7.5,Chuyên Tin học (thi Toán),984640899,
1498,2020,1638,Nguyễn Văn 1498,,10/11/2010,Chuyên tin học (thi Toán),,9.75,7.5,7.5,,,,,3.5,,984640899,
1499,2021,1064,Nguyễn Văn 1499,,20/06/2010,Chuyên tin học (thi Toán),,8.5,7.5,8.5,,,,,7,Chuyên Tin học (thi Toán),984640899,
1500,2023,1601,Nguyễn Văn 1500,,28/09/2010,Chuyên sinh học,,9.5,6,6.5,,,,5.5,,Chuyên Sinh học,984640899,
1501,2025,2130,Nguyễn Văn 1501,,22/11/2010,Chuyên toán học,,9.75,6.5,8.5,,,,,5.75,,984640899,
1502,2026,1327,Nguyễn Văn 1502,,22/10/2010,Chuyên toán học,,10,7.5,6.75,,,,,6,Chuyên Toán học,984640899,
1503,2027,962,Nguyễn Văn 1503,,30/10/2010,Chuyên toán học,,9.5,6,7.75,,,,,7,Chuyên Toán học,984640899,
1504,2029,1987,Nguyễn Văn 1504,,09/11/2010,Chuyên tin học (thi Toán),Chuyên hóa học,9.5,5,7.5,6,,,,7,Chuyên Hoá học,984640899,
1505,2031,1644,Nguyễn Văn 1505,,07/02/2010,Chuyên tin học (thi Tin),,8.25,1.5,6,,6.5,,,,,984640899,
1506,2032,343,Nguyễn Văn 1506,Nữ,16/07/2010,Chuyên sinh học,,9,7.5,8.25,,,,7,,Chuyên Sinh học,984640899,
1507,2033,1489,Nguyễn Văn 1507,Nữ,26/02/2010,Chuyên hóa học,,10,1.5,8,3,,,,,,984640899,
1508,2034,420,Nguyễn Văn 1508,,02/05/2010,Chuyên toán học,,10,8.5,9,,,,,8,Chuyên Toán học,984640899,
1509,2035,2196,Nguyễn Văn 1509,,02/11/2010,Chuyên sinh học,,8,2,8.25,,,,4,,,984640899,
1510,2036,665,Nguyễn Văn 1510,,07/03/2010,Chuyên sinh học,,8.75,3.5,6.5,,,,7,,,984640899,
1511,2037,2278,Nguyễn Văn 1511,,31/10/2010,Chuyên toán học,,9.5,7.5,8.25,,,,,7.25,Chuyên Toán học,984640899,
1512,2038,1482,Nguyễn Văn 1512,Nữ,25/12/2010,Chuyên tin học (thi Toán),Chuyên vật lý,9.75,6,8,,,5,,2.5,,984640899,
1513,2039,2114,Nguyễn Văn 1513,,19/11/2010,Chuyên tin học (thi Toán),,8,3,7.75,,,,,0.5,,984640899,
1514,2040,1535,Nguyễn Văn 1514,,17/03/2010,Chuyên vật lý,,9.5,2.5,8,,,3,,,,984640899,
1515,2041,718,Nguyễn Văn 1515,,15/03/2010,Chuyên toán học,Chuyên vật lý,9.75,2,8,,,0,,0.5,,984640899,
1516,2042,642,Nguyễn Văn 1516,,01/11/2010,Chuyên tin học (thi Toán),,9.5,7.5,8.5,,,,,7,Chuyên Tin học (thi Toán),984640899,
1517,2043,1378,Nguyễn Văn 1517,,04/02/2010,Chuyên toán học,,10,9,9,,,,,9,Chuyên Toán học,984640899,
1518,2047,1421,Nguyễn Văn 1518,,09/06/2010,Chuyên toán học,,10,7,7.5,,,,,7,Chuyên Toán học,984640899,
1519,2049,1651,Nguyễn Văn 1519,,29/10/2010,Chuyên toán học,,8.5,7.5,6.5,,,,,7,Chuyên Toán học,984640899,
1520,2050,892,Nguyễn Văn 1520,,12/06/2010,Chuyên vật lý,,5.75,2.5,7.75,,,4,,,,984640899,
1521,2051,1719,Nguyễn Văn 1521,Nữ,23/04/2010,Chuyên sinh học,,9.5,6.5,8,,,,6.25,,Chuyên Sinh học,984640899,
1522,2052,1743,Nguyễn Văn 1522,,16/06/2010,Chuyên toán học,Chuyên vật lý,9.25,5,8.75,,,0,,6,,984640899,
1523,2053,2003,Nguyễn Văn 1523,,25/06/2010,Chuyên tin học (thi Toán),,9.5,2.5,9,,,,,5.5,,984640899,
1524,2054,2279,Nguyễn Văn 1524,,30/03/2010,Chuyên tin học (thi Tin),,10,7.5,8.25,,10,,,,Chuyên Tin học (thi Tin),984640899,
1525,2056,326,Nguyễn Văn 1525,,02/01/2010,Chuyên tin học (thi Toán),,9.75,7.5,8,,,,,6.5,Chuyên Tin học (thi Toán),984640899,
1526,2057,2222,Nguyễn Văn 1526,,06/10/2010,Chuyên toán học,,9,5,7.25,,,,,0.5,,984640899,
1527,2060,2401,Nguyễn Văn 1527,,03/03/2010,Chuyên toán học,,8.5,6,7.75,,,,,3.25,,984640899,
1528,2061,2274,Nguyễn Văn 1528,,29/05/2010,Chuyên toán học,,10,6,7.5,,,,,6,,984640899,
1529,2062,1314,Nguyễn Văn 1529,,26/01/2010,Chuyên tin học (thi Toán),,9.75,7.5,6.25,,,,,6.5,Chuyên Tin học (thi Toán),984640899,
1530,2063,1283,Nguyễn Văn 1530,,24/07/2010,Chuyên vật lý,,8.75,6,7.5,,,5.25,,,,984640899,
1531,2065,200,Nguyễn Văn 1531,Nữ,27/10/2010,Chuyên hóa học,,10,6,8.75,2.75,,,,,,984640899,
1532,2066,1207,Nguyễn Văn 1532,,19/07/2010,Chuyên tin học (thi Toán),,9,7.5,8.5,,,,,3,,984640899,
1533,2067,1422,Nguyễn Văn 1533,,12/12/2010,Chuyên hóa học,,10,6,8.25,5.5,,,,,Chuyên Hoá học,984640899,
1534,2070,1315,Nguyễn Văn 1534,,02/10/2010,Chuyên vật lý,Chuyên tin học (thi Toán),9.5,6,8.5,,,3.5,,0.5,,984640899,
1535,2071,1262,Nguyễn Văn 1535,,07/04/2010,Chuyên vật lý,,9.5,3.5,7.25,,,4,,,,984640899,
1536,2074,2690,Nguyễn Văn 1536,Nữ,18/04/2010,Chuyên tin học (thi Toán),,8,4,8,,,,,0.5,,984640899,
1537,2076,933,Nguyễn Văn 1537,,31/08/2010,Chuyên toán học,,9.5,7.5,6.25,,,,,7,Chuyên Toán học,984640899,
1538,2079,1389,Nguyễn Văn 1538,,06/10/2010,Chuyên vật lý,,9.75,6,8.5,,,3.5,,,,984640899,
1539,2081,1799,Nguyễn Văn 1539,,04/02/2010,Chuyên sinh học,,8.5,6,4.5,,,,7.5,,Chuyên Sinh học,984640899,
1540,2082,527,Nguyễn Văn 1540,,23/07/2010,Chuyên vật lý,Chuyên tin học (thi Toán),9.75,5.5,8.5,,,4.25,,0,,984640899,
1541,2083,2398,Nguyễn Văn 1541,Nữ,13/01/2010,Chuyên sinh học,,7.5,4.5,7.25,,,,5.5,,,984640899,
1542,2085,1440,Nguyễn Văn 1542,,10/07/2010,Chuyên toán học,,9.75,7.5,8,,,,,6.5,Chuyên Toán học,984640899,
1543,2086,2566,Nguyễn Văn 1543,,22/04/2010,Chuyên toán học,,10,8,8.5,,,,,9,Chuyên Toán học,984640899,
1544,2087,1222,Nguyễn Văn 1544,,02/09/2010,Chuyên hóa học,,9.75,4.5,7,7.5,,,,,Chuyên Hoá học,984640899,
1545,2088,1379,Nguyễn Văn 1545,,01/10/2010,Chuyên hóa học,Chuyên sinh học,8,6,5.5,6,,,0,,Chuyên Hoá học,984640899,
1546,2089,327,Nguyễn Văn 1546,,02/01/2010,Chuyên vật lý,,9,4.5,7.5,,,4.25,,,,984640899,
1547,2090,446,Nguyễn Văn 1547,,24/11/2010,Chuyên hóa học,,9.5,1.5,8.5,1.75,,,,,,984640899,
1548,2091,1483,Nguyễn Văn 1548,Nữ,13/08/2010,Chuyên toán học,,10,7.5,9.25,,,,,3.5,,984640899,
1549,2093,1846,Nguyễn Văn 1549,,26/01/2010,Chuyên hóa học,,8,4.75,5.5,8,,,,,Chuyên Hoá học,984640899,
1550,2094,523,Nguyễn Văn 1550,,07/06/2010,Chuyên vật lý,,9.25,6.5,8.5,,,4.5,,,,984640899,
1551,2098,1758,Nguyễn Văn 1551,,31/01/2010,Chuyên vật lý,,9.75,2.5,8,,,2.75,,,,984640899,
1552,2099,2397,Nguyễn Văn 1552,Nữ,29/11/2010,Chuyên toán học,,9.5,6,8.5,,,,,1,,984640899,
1553,2100,357,Nguyễn Văn 1553,,05/07/2010,Chuyên toán học,,9.5,6,7.5,,,,,7,Chuyên Toán học,984640899,
1554,2101,797,Nguyễn Văn 1554,,11/08/2010,Chuyên tin học (thi Toán),,8.5,5.5,8.5,,,,,3,,984640899,
1555,2103,1050,Nguyễn Văn 1555,,31/03/2010,Chuyên toán học,,10,8.5,7.75,,,,,5.5,Chuyên Toán học,984640899,
1556,2104,240,Nguyễn Văn 1556,,05/05/2010,Chuyên tin học (thi Tin),,10,7.5,8,,7.5,,,,Chuyên Tin học (thi Tin),984640899,
1557,2105,2171,Nguyễn Văn 1557,,20/04/2010,Chuyên tin học (thi Toán),,8.25,7,8.75,,,,,6,,984640899,
1558,2106,2291,Nguyễn Văn 1558,,02/04/2010,Chuyên vật lý,Chuyên tin học (thi Toán),9.5,7.5,7.25,,,6.75,,3.5,Chuyên Vật lý,984640899,
1559,2107,166,Nguyễn Văn 1559,Nữ,04/12/2010,Chuyên sinh học,,8.75,3.5,8.25,,,,4.75,,,984640899,
1560,2108,328,Nguyễn Văn 1560,,29/10/2010,Chuyên vật lý,Chuyên tin học (thi Toán),9.75,4.5,7.5,,,2,,0.5,,984640899,
1561,2110,265,Nguyễn Văn 1561,,19/12/2010,Chuyên tin học (thi Toán),,9.25,7.5,6.75,,,,,6,Chuyên Tin học (thi Toán),984640899,
1562,2111,1027,Nguyễn Văn 1562,Nữ,18/01/2010,Chuyên vật lý,,9,6.5,8.5,,,3,,,,984640899,
1563,2112,1926,Nguyễn Văn 1563,Nữ,07/07/2010,Chuyên hóa học,,9,6.5,8.5,4.5,,,,,,984640899,
1564,2113,1203,Nguyễn Văn 1564,,30/07/2010,Chuyên tin học (thi Tin),,7.75,5.5,6,,5,,,,,984640899,
1565,2114,2043,Nguyễn Văn 1565,Nữ,13/02/2010,Chuyên sinh học,,8.75,6,8.75,,,,5.5,,Chuyên Sinh học,984640899,
1566,2115,2189,Nguyễn Văn 1566,,27/03/2010,Chuyên hóa học,,9.25,2.5,7.75,0.25,,,,,,984640899,
1567,2116,1624,Nguyễn Văn 1567,,22/04/2010,Chuyên hóa học,,9,3.5,8.75,2.25,,,,,,984640899,
1568,2117,83,Nguyễn Văn 1568,,24/09/2010,Chuyên tin học (thi Toán),,9.5,7.5,8.25,,,,,4.5,,984640899,
1569,2118,1432,Nguyễn Văn 1569,,21/02/2010,Chuyên tin học (thi Toán),,10,7.5,8.25,,,,,5,,984640899,
1570,2119,480,Nguyễn Văn 1570,,11/12/2010,Chuyên sinh học,,8.5,6,6.75,,,,6,,Chuyên Sinh học,984640899,
1571,2120,1209,Nguyễn Văn 1571,Nữ,21/10/2010,Chuyên sinh học,,9.75,6,8.5,,,,8,,Chuyên Sinh học,984640899,
1572,2121,1369,Nguyễn Văn 1572,,23/06/2010,Chuyên tin học (thi Toán),,9.25,4,8,,,,,6,,984640899,
1573,2122,1551,Nguyễn Văn 1573,,25/01/2010,Chuyên hóa học,,9.75,6,8.75,5.25,,,,,,984640899,
1574,2123,625,Nguyễn Văn 1574,,05/05/2010,Chuyên toán học,,8.5,6,8.5,,,,,2.75,,984640899,
1575,2124,1777,Nguyễn Văn 1575,,12/03/2010,Chuyên hóa học,,9.75,4,8.5,2.5,,,,,,984640899,
1576,2129,2310,Nguyễn Văn 1576,,24/05/2010,Chuyên toán học,,10,7.5,5.25,,,,,1,,984640899,
1577,2130,2331,Nguyễn Văn 1577,,09/12/2010,Chuyên tin học (thi Toán),,9.75,4,7.25,,,,,1.5,,984640899,
1578,2135,1117,Nguyễn Văn 1578,,31/10/2010,Chuyên tin học (thi Toán),Chuyên vật lý,9.25,6,7.5,,,6.25,,2.25,Chuyên Vật lý,984640899,
1579,2136,1438,Nguyễn Văn 1579,,29/03/2010,Chuyên toán học,Chuyên hóa học,9.25,5,6.5,2.75,,,,4,,984640899,
1580,2137,1803,Nguyễn Văn 1580,,09/03/2010,Chuyên tin học (thi Toán),,9.25,7.5,8,,,,,3,,984640899,
1581,2138,139,Nguyễn Văn 1581,Nữ,13/10/2010,Chuyên vật lý,,9,4,6.75,,,2,,,,984640899,
1582,2139,2348,Nguyễn Văn 1582,,07/05/2010,Chuyên sinh học,,10,6,8,,,,7.25,,Chuyên Sinh học,984640899,
1583,2141,241,Nguyễn Văn 1583,,16/05/2010,Chuyên toán học,,9.75,7.5,8.5,,,,,4,,984640899,
1584,2142,2700,Nguyễn Văn 1584,Nữ,19/08/2010,Chuyên hóa học,Chuyên tin học (thi Toán),9,8.5,8,4.75,,,,0,Chuyên Hoá học,984640899,
1585,2143,1072,Nguyễn Văn 1585,,01/07/2010,Chuyên vật lý,Chuyên toán học,9.75,5.5,6.75,,,6.5,,2,Chuyên Vật lý,984640899,
1586,2144,248,Nguyễn Văn 1586,,18/06/2010,Chuyên tin học (thi Tin),,9.75,5.5,7.5,,9.25,,,,Chuyên Tin học (thi Tin),984640899,
1587,2148,1329,Nguyễn Văn 1587,,25/02/2010,Chuyên tin học (thi Toán),,9.5,8,7.5,,,,,5,,984640899,
1588,2149,851,Nguyễn Văn 1588,,24/04/2010,Chuyên tin học (thi Toán),,10,6.5,6.5,,,,,7.25,Chuyên Tin học (thi Toán),984640899,
1589,2150,91,Nguyễn Văn 1589,,04/12/2010,Chuyên tin học (thi Tin),,9.25,5,5,,5.75,,,,,984640899,
1590,2151,2184,Nguyễn Văn 1590,,12/03/2010,Chuyên tin học (thi Toán),,9.25,6,8.5,,,,,2,,984640899,
1591,2152,2341,Nguyễn Văn 1591,,22/08/2010,Chuyên hóa học,,10,6,8,3,,,,,,984640899,
1592,2153,1163,Nguyễn Văn 1592,,09/10/2010,Chuyên toán học,,10,7.5,7.25,,,,,4,,984640899,
1593,2154,2197,Nguyễn Văn 1593,,20/06/2010,Chuyên hóa học,,8.75,6,6,2,,,,,,984640899,
1594,2156,1200,Nguyễn Văn 1594,,31/05/2010,Chuyên hóa học,,9.25,6,8.25,7,,,,,Chuyên Hoá học,984640899,
1595,2158,793,Nguyễn Văn 1595,Nữ,25/12/2010,Chuyên hóa học,,10,6,8,1.75,,,,,,984640899,
1596,2160,2203,Nguyễn Văn 1596,,24/05/2010,Chuyên vật lý,Chuyên toán học,9.75,4,6.5,,,6.25,,2,,984640899,
1597,2161,508,Nguyễn Văn 1597,Nữ,13/05/2010,Chuyên sinh học,,9.5,0,9,,,,5.5,,,984640899,
1598,2163,6,Nguyễn Văn 1598,Nữ,10/07/2010,Chuyên vật lý,,9.75,6,7.5,,,6.5,,,Chuyên Vật lý,984640899,
1599,2164,1972,Nguyễn Văn 1599,,27/01/2010,Chuyên toán học,,9.75,7.5,8.5,,,,,6.5,Chuyên Toán học,984640899,
1600,2165,997,Nguyễn Văn 1600,,27/09/2010,Chuyên tin học (thi Toán),,9.75,6,7.5,,,,,8,Chuyên Tin học (thi Toán),984640899,
1601,2166,1965,Nguyễn Văn 1601,,09/06/2010,Chuyên hóa học,,8,2.5,7,2.5,,,,,,984640899,
1602,2167,65,Nguyễn Văn 1602,,27/11/2010,Chuyên toán học,,9,5.5,7.5,,,,,1.5,,984640899,
1603,2168,1123,Nguyễn Văn 1603,,02/05/2010,Chuyên tin học (thi Toán),,8.25,7.5,9,,,,,2,,984640899,
1604,2169,2113,Nguyễn Văn 1604,,20/06/2010,Chuyên hóa học,,8.5,6.5,8.75,4.75,,,,,,984640899,
1605,2170,1692,Nguyễn Văn 1605,,29/11/2010,Chuyên toán học,,10,7.5,7.75,,,,,4.5,,984640899,
1606,2171,1754,Nguyễn Văn 1606,,06/02/2010,Chuyên tin học (thi Tin),,10,4,8.75,,4.25,,,,,984640899,
1607,2172,547,Nguyễn Văn 1607,,08/10/2010,Chuyên vật lý,,8,6.5,7.75,,,5,,,,984640899,
1608,2173,1299,Nguyễn Văn 1608,,20/12/2010,Chuyên vật lý,,9,6,8,,,3.5,,,,984640899,
1609,2174,29,Nguyễn Văn 1609,Nữ,23/08/2010,Chuyên vật lý,,9.25,4.5,8.25,,,5.5,,,,984640899,
